,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,processed_attributes,processed_filters,find_entity,find_intent
0,"add student with name=anderson martins gomes, age=20",ADD,student,"{'name': 'Anderson Martins Gomes', 'age': '20'}",,"{'student': 'student', 'name': 'name', '20': 'gomes'}",{},anderson_martins_gomes,ADD
1,"add subject with name=brazilian history, description=the history of brazil",ADD,subject,"{'name': 'Brazilian History', 'description': 'The history of Brazil'}",,"{'subject': 'description', 'history': 'description'}",{},history_of_brazil,ADD
2,"add teacher with name=paulo henrique, age=65, email=ph@uece.br",ADD,teacher,"{'name': 'Paulo Henrique', 'age': '65', 'email': 'ph@uece.br'}",,"{'teacher': 'name', 'br': 'henrique'}",{},ph_uece_br,ADD
3,"add subject with name=math, description=the best subject ever",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever'}",,"{'name': 'name', 'description': 'description', 'best_subject': 'best subject'}",{},math,ADD
4,"add subject with name=math, description='the best subject ever!'",ADD,subject,"{'name': 'Math', 'description': 'The best subject ever!'}",,"{'name': 'name', 'description': 'description', 'best_subject': 'best subject'}",{},math,ADD
5,add student name=anderson,ADD,student,{'name': 'Anderson'},,{'student': 'name=anderson'},{},adolescent,ADD
6,get students with name anderson,READ,student,{'name': 'anderson'},,"{'students': 'students', 'name': 'name'}",{},anderson,READ
7,show me the teachers,READ,teacher,,,{},{},teacher,READ
8,show teachers,READ,teacher,,,{},{},teacher,READ
9,show teacher,READ,teacher,,,{'show': 'show'},{},teacher,DELETE
10,"include outcome value 900, date is today, and description is ""adjusting the numbers""",ADD,outcome,"{'value': '900', 'date': 'today', 'description': 'adjusting the numbers'}",,"{'outcome': 'outcome', 'value': 'outcome', 'date': 'date', 'dome_created_at': '2025-04-17'}",{},900,ADD
11,get invoices,READ,invoice,,,{},{},invoice,READ
12,"add a test with scope=module x, date=01/01/2022, timeout = 100, limit=10",ADD,test,"{'scope': 'Module X', 'date': '01/01/2022', 'timeout': '100', 'limit': '10'}",,"{'test': 'test', 'scope': 'scope', 'module': 'scope', 'x': 'x', 'date': 'date', 'timeout': 'timeout', 'limit': 'limit'}",{},module_x,ADD
13,add a test with scope=module y and number = 8,ADD,test,"{'scope': 'Module Y', 'number': '8'}",,{'test': 'number'},{},y,ADD
14,"add student with name=anderson, age=199",ADD,student,"{'name': 'Anderson', 'age': '199'}",,"{'student': 'student', 'name': 'name', '199': 'anderson'}",{},199,ADD
15,"delete student name is anderson, and age is 199",DELETE,student,"{'name': 'Anderson', 'age': '199'}",,"{'student': 'name is anderson, and age is 199'}",{},199,DELETE
16,"add article with title=the title, author=the author",ADD,article,"{'title': 'The title', 'author': 'The author'}",,"{'article': 'author', 'author': 'author'}",{},author,ADD
17,"update article with title ""the title"" and author ""the author"" set the title to ""the new title""",UPDATE,article,{'title': 'The new title'},"{'title': 'The title', 'author': 'The author'}",{'title': 'title'},"{'title': 'the title', 'author': 'author'}",article,UPDATE
18,add article with author=anderson,ADD,article,{'author': 'Anderson'},,"{'article': 'article', 'author': 'author'}",{},ad,ADD
19,"delete article when author=""anderson""",DELETE,article,{'author': 'Anderson'},,{'author': 'author'},{},article,DELETE
20,show me the articles,READ,article,,,{},{},article,READ
21,"add article with title=the title, author=the author, abstract=the abstract, keywords=the keywords",ADD,article,"{'title': 'The title', 'author': 'The author', 'abstract': 'The abstract', 'keywords': 'The keywords'}",,"{'title': 'title', 'author': 'author', 'abstract': 'abstract', 'keywords': 'keywords'}",{},abstract,ADD
22,"update article with title ""the title"", setting the co-author as ""anderson gomes""",UPDATE,article,{'co_author': 'Anderson Gomes'},{'title': 'The title'},{'co_author': 'co-author'},{'title': 'title'},e_mail,UPDATE
23,"update article with id=1, setting the first author as ""paulo maia""",UPDATE,article,{'first_author': 'Paulo Maia'},{'id': '1'},{'first_author': 'first author'},{'id': 'id'},article,UPDATE
24,show all students,READ,student,,,{'students': 'students'},{},st,READ
25,view students,READ,student,,,{},{},view_students,READ
26,fetch the students,READ,student,,,{'students': 'students'},{},e_mail,READ
27,get the students,READ,student,,,{'students': 'students'},{},edward_edwards,READ
28,"for the students with name='anderson', update the name to 'anderson martins'",UPDATE,student,{'name': 'Anderson Martins'},{'name': 'Anderson'},{'students': 'students'},{'name': 'name'},scottish,UPDATE
